codeTs,snum,textName,requireCheck,decFacCode,decFacName,decFacType,decFacContent,ieFlag,gname,extendFiled
4107199,7,用途（鞋面、箱包、鞋底、家具、汽车座椅、皮带等）,1,null,null,null,null,null,null,null
4107199,8,GTIN,0,null,null,null,null,null,null,null
4107199,9,CAS,0,null,null,null,null,null,null,null
4107199,10,其他,0,,,,,,,
410791,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
410791,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
410791,2,制作或保存方法(表面是否涂覆、涂覆何种物质),1,null,null,null,null,null,null,null
410791,3,种类(牛、马),1,null,null,null,null,null,null,null
410791,4,状态(半张，无毛全粒面未剖层或无毛粒面剖层、二层牛,1,null,null,null,null,null,null,null
410791,5,规格(厚度、平均面积）,1,null,null,null,null,null,null,null
410791,6,颜色,1,null,null,null,null,null,null,null
410791,7,用途（鞋面、箱包、鞋底、家具、汽车座椅、皮带等）,1,null,null,null,null,null,null,null
410791,8,GTIN,0,null,null,null,null,null,null,null
410791,9,CAS,0,null,null,null,null,null,null,null
410791,10,其他,0,,,,,,,
410792,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
